group,query,expected,type,top3,rank,latency_ms,error
keyword_rag,3x-5=10 应该怎样解,linear_equation,fact,"[""linear_equation"", ""integer_power"", ""work_power""]",1,1.26,
keyword_rag,为什么方程移项以后要变号,linear_equation,paraphrase,"[""linear_equation"", ""fraction_equation"", ""fraction_equation""]",1,1.79,
keyword_rag,负数乘负数为什么得到正数,negative_number,fact,"[""integer_power"", ""integer_power"", ""inequality""]",0,1.82,
keyword_rag,-2 的平方和括号负二的平方一样吗,integer_power,mistake,"[""quadratic_root"", ""quadratic_root"", ""statistics""]",0,1.42,
keyword_rag,4a-2+3a+5 如何化简,algebra_simplify,example,"[""algebra_simplify"", ""quadratic_root"", ""linear_equation""]",1,1.32,
keyword_rag,不等式除以负数为何改变方向,inequality,mistake,"[""inequality"", ""inequality"", ""inequality""]",1,1.64,
keyword_rag,坐标点向上移动应该修改哪个坐标,coordinate,fact,"[""coordinate"", ""coordinate"", ""coordinate""]",1,1.56,
keyword_rag,一次函数的斜率代表什么,proportion,fact,"[""proportion"", ""proportion"", ""proportion""]",1,1.49,
keyword_rag,x平方减9怎么因式分解,factorization,example,"[""factorization"", ""factorization"", ""factorization""]",1,1.51,
keyword_rag,分式方程为什么必须验根,fraction_equation,mistake,"[""fraction_equation"", ""fraction_equation"", ""fraction_equation""]",1,1.61,
keyword_rag,根号a平方为什么不一定等于a,quadratic_root,mistake,"[""quadratic_root"", ""quadratic_root"", ""pythagorean""]",1,1.5,
keyword_rag,相似三角形对应边怎么找,similar_triangle,fact,"[""similar_triangle"", ""similar_triangle"", ""similar_triangle""]",1,1.41,
keyword_rag,平均数和中位数哪个不怕极端值,statistics,comparison,"[""statistics"", ""statistics"", ""statistics""]",1,1.44,
keyword_rag,掷骰子出现偶数的概率,probability,example,"[""probability"", ""probability"", ""probability""]",1,1.53,
keyword_rag,二次函数如何求顶点,quadratic_function,fact,"[""quadratic_function"", ""quadratic_function"", ""quadratic_function""]",1,1.33,
keyword_rag,勾股定理什么时候能用,pythagorean,fact,"[""pythagorean"", ""triangle""]",1,1.32,
keyword_rag,平均速度为什么不是两段速度相加除二,average_speed,mistake,"[""average_speed"", ""distance_time"", ""negative_number""]",1,1.44,
keyword_rag,受力分析要画运动方向吗,force,mistake,"[""force"", ""force"", ""force""]",1,1.48,
keyword_rag,为什么刀刃越薄越锋利,pressure,application,"[""pressure"", ""pressure"", ""pressure""]",1,1.55,
keyword_rag,漂浮物体在盐水和清水中浮力一样吗,buoyancy,application,"[""buoyancy"", ""buoyancy"", ""buoyancy""]",1,1.48,
keyword_rag,功率大是不是做功一定多,work_power,mistake,"[""work_power"", ""work_power"", ""work_power""]",1,1.39,
keyword_rag,入射角是光线与镜面的夹角吗,light,mistake,"[""light"", ""light"", ""light""]",1,1.54,
keyword_rag,物体切成两半密度变不变,density,application,"[""density"", ""buoyancy"", ""density""]",1,1.45,
hybrid_rag,3x-5=10 应该怎样解,linear_equation,fact,"[""linear_equation"", ""integer_power"", ""work_power""]",1,1.15,
hybrid_rag,为什么方程移项以后要变号,linear_equation,paraphrase,"[""linear_equation"", ""fraction_equation"", ""fraction_equation""]",1,1.69,
hybrid_rag,负数乘负数为什么得到正数,negative_number,fact,"[""integer_power"", ""integer_power"", ""inequality""]",0,1.42,
hybrid_rag,-2 的平方和括号负二的平方一样吗,integer_power,mistake,"[""quadratic_root"", ""quadratic_root"", ""statistics""]",0,1.36,
hybrid_rag,4a-2+3a+5 如何化简,algebra_simplify,example,"[""algebra_simplify"", ""quadratic_root"", ""linear_equation""]",1,1.24,
hybrid_rag,不等式除以负数为何改变方向,inequality,mistake,"[""inequality"", ""inequality"", ""inequality""]",1,1.37,
hybrid_rag,坐标点向上移动应该修改哪个坐标,coordinate,fact,"[""coordinate"", ""coordinate"", ""coordinate""]",1,1.51,
hybrid_rag,一次函数的斜率代表什么,proportion,fact,"[""proportion"", ""proportion"", ""proportion""]",1,1.33,
hybrid_rag,x平方减9怎么因式分解,factorization,example,"[""factorization"", ""factorization"", ""factorization""]",1,1.29,
hybrid_rag,分式方程为什么必须验根,fraction_equation,mistake,"[""fraction_equation"", ""fraction_equation"", ""fraction_equation""]",1,1.68,
hybrid_rag,根号a平方为什么不一定等于a,quadratic_root,mistake,"[""quadratic_root"", ""quadratic_root"", ""pythagorean""]",1,1.37,
hybrid_rag,相似三角形对应边怎么找,similar_triangle,fact,"[""similar_triangle"", ""similar_triangle"", ""similar_triangle""]",1,1.25,
hybrid_rag,平均数和中位数哪个不怕极端值,statistics,comparison,"[""statistics"", ""statistics"", ""statistics""]",1,1.33,
hybrid_rag,掷骰子出现偶数的概率,probability,example,"[""probability"", ""probability"", ""probability""]",1,1.28,
hybrid_rag,二次函数如何求顶点,quadratic_function,fact,"[""quadratic_function"", ""quadratic_function"", ""quadratic_function""]",1,1.52,
hybrid_rag,勾股定理什么时候能用,pythagorean,fact,"[""pythagorean"", ""triangle""]",1,1.21,
hybrid_rag,平均速度为什么不是两段速度相加除二,average_speed,mistake,"[""average_speed"", ""distance_time"", ""negative_number""]",1,1.51,
hybrid_rag,受力分析要画运动方向吗,force,mistake,"[""force"", ""force"", ""force""]",1,1.29,
hybrid_rag,为什么刀刃越薄越锋利,pressure,application,"[""pressure"", ""pressure"", ""pressure""]",1,1.5,
hybrid_rag,漂浮物体在盐水和清水中浮力一样吗,buoyancy,application,"[""buoyancy"", ""buoyancy"", ""buoyancy""]",1,1.62,
hybrid_rag,功率大是不是做功一定多,work_power,mistake,"[""work_power"", ""work_power"", ""work_power""]",1,1.27,
hybrid_rag,入射角是光线与镜面的夹角吗,light,mistake,"[""light"", ""light"", ""light""]",1,1.42,
hybrid_rag,物体切成两半密度变不变,density,application,"[""density"", ""buoyancy"", ""density""]",1,1.66,
hybrid_graphrag,3x-5=10 应该怎样解,linear_equation,fact,"[""linear_equation"", ""integer_power"", ""work_power""]",1,2.39,
hybrid_graphrag,为什么方程移项以后要变号,linear_equation,paraphrase,"[""linear_equation"", ""fraction_equation"", ""fraction_equation""]",1,3.38,
hybrid_graphrag,负数乘负数为什么得到正数,negative_number,fact,"[""integer_power"", ""integer_power"", ""inequality""]",0,2.96,
hybrid_graphrag,-2 的平方和括号负二的平方一样吗,integer_power,mistake,"[""quadratic_root"", ""quadratic_root"", ""statistics""]",0,2.75,
hybrid_graphrag,4a-2+3a+5 如何化简,algebra_simplify,example,"[""algebra_simplify"", ""quadratic_root"", ""linear_equation""]",1,3.04,
hybrid_graphrag,不等式除以负数为何改变方向,inequality,mistake,"[""inequality"", ""inequality"", ""inequality""]",1,3.08,
hybrid_graphrag,坐标点向上移动应该修改哪个坐标,coordinate,fact,"[""coordinate"", ""coordinate"", ""coordinate""]",1,2.86,
hybrid_graphrag,一次函数的斜率代表什么,proportion,fact,"[""proportion"", ""proportion"", ""proportion""]",1,2.65,
hybrid_graphrag,x平方减9怎么因式分解,factorization,example,"[""factorization"", ""factorization"", ""factorization""]",1,2.88,
hybrid_graphrag,分式方程为什么必须验根,fraction_equation,mistake,"[""fraction_equation"", ""fraction_equation"", ""fraction_equation""]",1,2.73,
hybrid_graphrag,根号a平方为什么不一定等于a,quadratic_root,mistake,"[""quadratic_root"", ""quadratic_root"", ""pythagorean""]",1,2.83,
hybrid_graphrag,相似三角形对应边怎么找,similar_triangle,fact,"[""similar_triangle"", ""similar_triangle"", ""similar_triangle""]",1,2.51,
hybrid_graphrag,平均数和中位数哪个不怕极端值,statistics,comparison,"[""statistics"", ""statistics"", ""statistics""]",1,2.79,
hybrid_graphrag,掷骰子出现偶数的概率,probability,example,"[""probability"", ""probability"", ""probability""]",1,2.8,
hybrid_graphrag,二次函数如何求顶点,quadratic_function,fact,"[""quadratic_function"", ""quadratic_function"", ""quadratic_function""]",1,2.84,
hybrid_graphrag,勾股定理什么时候能用,pythagorean,fact,"[""pythagorean"", ""triangle"", ""similar_triangle""]",1,2.73,
hybrid_graphrag,平均速度为什么不是两段速度相加除二,average_speed,mistake,"[""average_speed"", ""distance_time"", ""negative_number""]",1,2.75,
hybrid_graphrag,受力分析要画运动方向吗,force,mistake,"[""force"", ""force"", ""force""]",1,2.67,
hybrid_graphrag,为什么刀刃越薄越锋利,pressure,application,"[""pressure"", ""pressure"", ""pressure""]",1,2.98,
hybrid_graphrag,漂浮物体在盐水和清水中浮力一样吗,buoyancy,application,"[""buoyancy"", ""buoyancy"", ""buoyancy""]",1,3.01,
hybrid_graphrag,功率大是不是做功一定多,work_power,mistake,"[""work_power"", ""work_power"", ""work_power""]",1,2.59,
hybrid_graphrag,入射角是光线与镜面的夹角吗,light,mistake,"[""light"", ""light"", ""light""]",1,2.82,
hybrid_graphrag,物体切成两半密度变不变,density,application,"[""density"", ""buoyancy"", ""density""]",1,2.55,
dify_hybrid_rerank,3x-5=10 应该怎样解,linear_equation,fact,"[""linear_equation"", ""algebraic_expression"", ""quadratic_function""]",1,3189.8,
dify_hybrid_rerank,为什么方程移项以后要变号,linear_equation,paraphrase,"[""linear_equation"", ""inequality"", ""negative_number""]",1,2632.8,
dify_hybrid_rerank,负数乘负数为什么得到正数,negative_number,fact,"[""negative_number"", ""integer_power"", ""inequality""]",1,2358.74,
dify_hybrid_rerank,-2 的平方和括号负二的平方一样吗,integer_power,mistake,"[""negative_number"", ""quadratic_root"", ""quadratic_function""]",0,1914.61,
dify_hybrid_rerank,4a-2+3a+5 如何化简,algebra_simplify,example,"[""factorization"", ""algebra_simplify"", ""integer_power""]",2,1997.37,
dify_hybrid_rerank,不等式除以负数为何改变方向,inequality,mistake,"[""inequality"", ""negative_number"", ""factorization""]",1,22839.27,
dify_hybrid_rerank,坐标点向上移动应该修改哪个坐标,coordinate,fact,"[""coordinate"", ""proportion"", ""inequality""]",1,2408.97,
dify_hybrid_rerank,一次函数的斜率代表什么,proportion,fact,"[""proportion"", ""inequality"", ""quadratic_function""]",1,8521.93,
dify_hybrid_rerank,x平方减9怎么因式分解,factorization,example,"[""factorization"", ""quadratic_root"", ""fraction_equation""]",1,1898.88,
dify_hybrid_rerank,分式方程为什么必须验根,fraction_equation,mistake,"[""fraction_equation"", ""quadratic_root"", ""negative_number""]",1,2339.62,
dify_hybrid_rerank,根号a平方为什么不一定等于a,quadratic_root,mistake,[],0,895.94,RuntimeError
dify_hybrid_rerank,相似三角形对应边怎么找,similar_triangle,fact,[],0,1746.54,RuntimeError
dify_hybrid_rerank,平均数和中位数哪个不怕极端值,statistics,comparison,[],0,751.37,RuntimeError
dify_hybrid_rerank,掷骰子出现偶数的概率,probability,example,[],0,883.38,RuntimeError
